Song Name,Artist,Album,Release Date,Popularity
Tomahawk,Palace,Chase The Light,08/06/2015,37
Medicine,The Pale White,Infinite Pleasure,23/04/2021,45
As The Sun Sets,Sorry,925,27/03/2020,40
"Minuet in G Minor, HWV 434 No. 4 (Arr. Kempff)",George Frideric Handel,Anne Queffélec Plays Handel,2006,40
"Concerto grosso in B-Flat Major, Op. 3 No. 1, HWV 312: II. Largo",George Frideric Handel,"Handel: Concerti grossi, Op. 3",14/08/2020,36
Lovesick,Peace,In Love,25/03/2013,47
Begin Again,The Mysterines,Begin Again,30/05/2023,48
Call the Night,Luna Bay,Call the Night,03/05/2019,38
Your Light,The Big Moon,Your Light,10/09/2019,48
Palace,Bad Nerves,Bad Nerves,20/11/2020,36
Eccho or Allmane,Francis Pilkington,Two Lutes: Lute Duets from England's Golden Age,03/07/2012,39
"Water Music, Suite No. 1, HWV 348: I. Overture: Largo - Allegro",George Frideric Handel,Handel: Water Music,05/02/2016,41
Sad Boys - All I Wanna Do,TRASH,Urban Glow,25/09/2015,35
"Handel: Serse, HWV 40, Act 1 Scene 1: No. 2, Arioso, ""Ombra mai fù"" (Serse)",George Frideric Handel,Handel: Serse,15/09/2004,46
Snakes,Sorry,925,27/03/2020,39
Here's the Thing,Sports Team,Deep Down Happy,05/06/2020,34
Mixed Signals - EP Version,The Night Café,Get Away from the Feeling,10/03/2017,45
Caught My Breath,Palace,Life After,12/07/2019,37
Angels - triple j Like A Version,Circa Waves,Angels (triple j Like A Version),23/06/2023,43
Sockets,SOFT PLAY,Are You Satisfied?,01/06/2015,47
Sometimes,Flyte,White Roses,20/09/2019,36
Christ is Made the Sure Foundation (Arr. O'Donnell),Henry Purcell,The Official Music of the Coronation of King Charles III and Queen Camilla,14/06/2023,0
Ready For Something,The Amazons,Ready For Something,02/06/2022,42
Set the Fire,Swimming Tapes,Souvenirs EP,27/01/2017,35
Will It Tear Us Apart,Airways,Terrible Town,08/10/2021,40
Jealous Type,The Reytons,Jealous Type,22/01/2021,51
Before Sunrise,Gengahr,Where Wildness Grows,09/03/2018,32
Queen's Parade,Swimming Tapes,Queen's Parade,10/05/2017,32
Twit Twoo,The Covasettes,It's Always Sunny Above the Clouds,05/07/2019,41
Corrine,Black Honey,Black Honey (Deluxe),23/11/2018,41
"The Fairy Queen, Z. 629: Prelude",Henry Purcell,Purcell & Locke: Orchestral Works,10/05/2019,42
Do You Really Wanna Know?,Sea Girls,Do You Really Wanna Know?,29/04/2020,46
Victoria Falls,Flyte,The Loved Ones,25/08/2017,43
Lay This Body Down,Sam Lee,Lay This Body Down,17/01/2020,36
Coming Up Short,BLOXX,Lie Out Loud,28/08/2020,40
Move to San Francisco,Circa Waves,Happy,10/01/2020,46
1998 (Delicious),Peace,EP Delicious,07/09/2012,45
Life After,Palace,Life After,12/07/2019,37
"Concerto grosso in D Minor, Op. 6 No. 10, HWV 328: II. Air. Lentement",George Frideric Handel,"Handel: 12 Concerti grossi, Op. 6 Nos. 7-12",17/01/2020,35
Too Much Fun,Sea Girls,Too Much Fun,08/05/2018,50
Bête Noire,On Video,Bête Noire,04/05/2020,32
Hung Up,The Mysterines,Reeling,11/03/2022,50
Blue Gasoline,Airways,Blue Gasoline,14/12/2018,40
Ready For Something,The Amazons,How Will I Know If Heaven Will Find Me?,09/09/2022,40
Take Care,Blaenavon,That's Your Lot,07/04/2017,31
Tides,Swimming Tapes,Souvenirs EP,27/01/2017,35
Fantasia,John Dowland,Dreams and Fancies: English Music for Solo Guitar,21/07/2017,35
Back To The Radio,Porridge Radio,"Waterslide, Diving Board, Ladder To The Sky",20/05/2022,41
"Concerto grosso in B Minor, Op. 6 No. 12, HWV 330: III. Aria. Larghetto e piano",George Frideric Handel,"Handel: 12 Concerti grossi, Op. 6 Nos. 7-12",17/01/2020,34
Thank Lucifer,VANT,Conceived in the Sky,10/01/2020,38
"Eternal Source of Light Divine, HWV 74 (Arrangement)",George Frideric Handel,Nuove Invenzioni,15/06/2018,43
Where Sky Becomes Sea,Palace,Where Sky Becomes Sea,12/11/2021,38
Times Won't Change Me,Circa Waves,What's It Like Over There?,05/04/2019,45
"Yeah, I Know",Otherkin,The New Vice EP,17/06/2016,40
Adored,Sea Girls,Adored EP,05/06/2018,46
Fill My Little World,The Feeling,Twelve Stops And Home (Deluxe),05/06/2006,53
Fire That Burns,Circa Waves,Different Creatures,10/03/2017,48
Icarus,Gengahr,Sanctuary,31/01/2020,43
"Handel: Suite No. 4 in D Minor, HWV 437: III. Sarabande",George Frideric Handel,Eternal Heaven - Handel: Suite No. 4 in D Minor: III. Sarabande,04/11/2022,39
"Water Music, Suite No. 1, HWV 348: No. 2, Adagio e staccato",George Frideric Handel,Handel: Water Music,05/02/2016,40
Right Time,overpass,Right Time,22/03/2023,40
7 Seconds,Porridge Radio,7 Seconds,15/09/2020,44
Swings And Waterslides,Viola Beach,Viola Beach,29/07/2016,51
Swarm,Spiro,Kaleidophonica,2011,38
Talk Your Mind,Riscas,Talk Your Mind,18/12/2018,42
Monday,Corella,Monday,26/03/2021,43
Third Class Citizen,Calva Louise,Third Class Citizen,19/01/2023,39
"Concerto Grosso in D Minor, Op. 6, No. 10, HWV 328: V. Allegro",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,8
"Concerto Grosso No. 9 in A Minor after ""Lessons for the Harpsichord"" by Domenico Scarlatti: I. Largo",Charles Avison,The English Concert Best Recordings 1980-1990,22/06/2023,0
Talk Like Thunder,VANT,Talk Like Thunder,10/11/2017,40
"Water Music Suite No. 1 in F Major, HWV 348: VII. Bourrée",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,1
"Water Music, Suites 2 & 3 In D/G, HWV 348: VI. Bourrée",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,1
Drifting,Cassia,Why You Lacking Energy?,18/11/2022,49
Sea Blue,BLOXX,Sea Blue,07/12/2018,39
"Solomon, HWV 67 / Act III: Sinfonia ""The Arrival of the Queen of Sheba""",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,11
"Water Music Suite No. 1 in F Major, HWV 348: II. Adagio e staccato",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,11
Music for the Royal Fireworks: Suite HWV 351: II. Bourrée,George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,9
Friday,APRE,Friday,21/09/2022,38
"Water Music Suite No. 1 in F Major, HWV 348: V. Air",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,8
"Water Music Suite No. 1 in F Major, HWV 348: VI. Menuet",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,0
"From Samson / Act I: Sinfonia, HWV 57: II. Allegro",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,4
Music for the Royal Fireworks: Suite HWV 351: III. La Paix,George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,1
"Water Music Suite No. 1 in F Major, HWV 348: I. Ouverture (Grave - Allegro)",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,6
Music for the Royal Fireworks: Suite HWV 351: VI. Menuet II,George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,2
"Water Music Suite No. 1 in F Major, HWV 348: IV. (Menuet)",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,0
Music for the Royal Fireworks: Suite HWV 351: V. Menuet I,George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,3
"Concerto Grosso in C Major, HWV 318 ""Alexander's Feast"": II. Largo - Adagio",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,1
"Water Music, Suites 2 & 3 in D/G, HWV 348: VII. Menuet (I)",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,0
"Water Music, Suites 2 & 3 in D/G, HWV 348: IX. Country Dance (I/II)",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,2
"Water Music Suite No. 2 in D Major, HWV 349: II. Alla Hornpipe",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,1
"Water Music Suite No. 1 in F Major, HWV 348: III. Allegro - Andante - Allegro",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,1
"Water Music, Suites 2 & 3 in D/G, HWV 348: VIII. Andante",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,1
"Water Music, Suites 2 & 3 in D/G, HWV 348: I. Allegro",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,0
"Water Music Suite No. 1 in F Major, HWV 348: VIII. Hornpipe",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,3
"Concerto Grosso in C Major, HWV 318 ""Alexander's Feast"": I. Allegro",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,1
"Messiah, HWV 56 / Pt. 1: I.Symphony",George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,2
Music for the Royal Fireworks: Suite HWV 351: I. Ouverture,George Frideric Handel,The English Concert Best Recordings 1980-1990,22/06/2023,1
Hung Up,The Mysterines,Hung Up,06/10/2021,37
Lose the Feeling,Sundara Karma,Youth is Only Ever Fun in Retrospect,07/07/2017,41
Curtains,BLOXX,Curtains,14/07/2017,36
Wasted Days,Bad Nerves,Bad Nerves,20/11/2020,35
Portrait,THE GOA EXPRESS,Portrait,17/01/2023,46
Slow,Airways,Terrible Town,08/10/2021,39
Full Round Table,Chappaqua Wrestling,Full Round Table,25/05/2022,41
Run Baby Run,Demob Happy,Run Baby Run,31/03/2023,38
Hustle,Sundara Karma,Indigo Puff,2014,43
Explore,Sundara Karma,Youth is Only Ever Fun in Retrospect,07/07/2017,48
"Serse, HWV 40, Act I: Ombra mai fu",George Frideric Handel,Renée Fleming - Handel Arias,01/01/2004,43
Be Your Man,Demob Happy,Be Your Man,11/10/2017,32
I Like To Smile When I'm Sad,FREAK,I Like To Smile When I'm Sad,24/03/2017,38
A Young Understanding,Sundara Karma,Youth is Only Ever Fun in Retrospect,07/07/2017,44
Less Is More,Demob Happy,Less Is More,01/02/2019,39
Fuckabout,Drenge,Drenge,19/08/2013,37
"Amphitryon, Z. 572, ""The 2 Sosias"": VIII. Borree",Henry Purcell,"Purcell: Theatre Music, Vol. 1 - Amphitryon / Sir Barnaby Whigg / The Gordian Knot Unty'D / Circe",25/03/2008,42
Lovesick,Peace,In Love (US),01/10/2013,30
Good For You,Porridge Radio,Good For You,02/07/2020,38
Pamphlets,Squid,Bright Green Field,07/05/2021,39
"The First Part of Ayres, French, Pollish and others together … with Pavines, Galliards, and Almaines (1605): I. A Galiard",Tobias Hume,Ricercare E Canzoni,08/07/2022,37
Boys That Sing,Viola Beach,Viola Beach,29/07/2016,54
Slice Of Lime (2017),The Reytons,It Was All So Monotonous,01/05/2017,54
Ein Schottisch Tanz,William Brade,Musica Nova,11/05/2018,37
"Handel: Concerto grosso in F Major, Op. 3 No. 4, HWV 315: II. Andante",George Frideric Handel,John Eliot Gardiner Conducts Handel,03/02/2023,30
Why,The Big Moon,Walking Like We Do,10/01/2020,42
TV Dream,Larkins,TV Dream,01/06/2019,42
Happy Family,Sundara Karma,Youth is Only Ever Fun in Retrospect,07/07/2017,40
California Daze,Peace,In Love,25/03/2013,43
GET OVER IT,RAT BOY,SCUM (Deluxe),11/08/2017,39
Wayfinding,Chappaqua Wrestling,Wayfinding,21/09/2022,33
Easy Tiger,Flyte,This Is Really Going To Hurt,09/04/2021,37
Veins,Palace,Lost in the Night,20/10/2014,34
Over the Counterculture,The Ordinary Boys,British Rebels,28/02/2020,29
Lascia Ch' io Pianga,George Frideric Handel,Classic,07/02/2020,44
How Am I Still Alive? (with Lydia Night),Lauran Hibberd,How Am I Still Alive? (with Lydia Night),19/03/2021,35
Eleanor,Red Rum Club,The Hollow Of Humdrum,02/10/2020,51
Pretty People,Fuzzy Sun,Pretty People / Gentleman's Touch,06/02/2020,44
Do You Really Wanna Know?,Sea Girls,Van Life 2023 by The Circle Sessions,16/06/2023,1
"Messiah, HWV 56, Pt. 2 Scene 7: No. 44, Hallelujah (Chorus)",George Frideric Handel,The 50 Greatest Pieces of Classical Music,23/11/2009,38
Can't Be Mine,Bad Nerves,Bad Nerves,20/11/2020,32
"Handel: Water Music, Suite No. 2 in D Major, HWV 349: II. Alla Hornpipe",George Frideric Handel,Baroque Masterpieces,07/02/2011,41
All My Pride,Black Honey,Black Honey (Deluxe),23/11/2018,44
Swim For Your Life,The Pale White,Swim For Your Life,11/10/2019,43
"The Shoemaker's Wife. A Toy, P 58",John Dowland,My favorite Dowland,13/05/2014,38
"Water Music, Suite No. 1, HWV 348: III. [Allegro]",George Frideric Handel,Handel: Water Music,05/02/2016,39
Seven or Eleven,The Hubbards,Seven or Eleven,20/09/2019,35
Take Control,The Mysterines,Take Control EP,08/08/2019,47
Old Friends,Circa Waves,Different Creatures,10/03/2017,43
GET OVER IT,RAT BOY,GET OVER IT,07/07/2016,39
I Feel,Bad Sounds,PHRESSSH,26/05/2017,34
La Vecchia Pavan,John Johnson,Music for a Tudor Court,05/04/2011,33
Souvenirs,Swimming Tapes,Souvenirs,04/03/2016,33
Doubt It,The Amazons,Future Dust,24/05/2019,45
The Fairy Round (Galliard),Anthony Holborne,Lute Music for Witches and Alchemists,29/02/2000,35
Move to San Francisco,Circa Waves,Move to San Francisco,08/01/2020,37
Electric 88,Bad Nerves,Bad Nerves,20/11/2020,33
The Rip,Porridge Radio,"Waterslide, Diving Board, Ladder To The Sky",20/05/2022,42
The Noble man - Instrumental,Robert Johnson,The Rags of Time - 17th Century English Lute Songs & Dances,2002,35
Flavour of the Month,Fizzy Blood,Pan Am Blues,13/01/2023,36
One More Day Won’t Hurt,SOFT PLAY,The Velvet Ditch - EP,18/07/2019,42
Sweet,Porridge Radio,Every Bad (Expanded Edition),25/03/2021,39
Godmanchester Chinese Bridge - Radio Edit,The Howl & The Hum,Godmanchester Chinese Bridge (Radio Edit),05/04/2017,39
Perfect,Sorry,925,27/03/2020,37
Gravity,Palace,Gravity,18/08/2021,34
Addicted - 2015 Version,The Night Café,Addicted (2015 Version),23/09/2015,41
High Tones,Cassia,High Tones,13/06/2023,45
Right Round The Clock,Sorry,925,27/03/2020,39
"Serse, HWV 40, Act I Scene 1: Arioso ""Ombra mai fù""",George Frideric Handel,Handel: Ombra mai fu,09/03/1999,43
All The Sad Young Men,Spector,Moth Boys,21/08/2015,30
Vanilla,Red Rum Club,Vanilla,15/09/2022,47
Tempo,Husky Loops,Tempo,30/03/2017,38
Mother - Single Version,The Amazons,Mother,04/02/2019,38
Love It When You Call,The Feeling,Twelve Stops And Home (Deluxe),05/06/2006,49
Phantom,Dead!,Phantom Single,01/09/2014,34
Waterfall,Corella,Waterfall,06/07/2016,47
Television Promises,BLOXX,Television Promises,24/03/2023,38
Midnight Surprise,Lightspeed Champion,Falling Off The Lavender Bridge,18/01/2008,33
Pressure Point,The Zutons,Who Killed The Zutons?,2004,37
"Ode for St. Cecilia's Day, HWV 76: Interlude",George Frideric Handel,Handel: Ode for St. Cecilia's Day,09/03/2004,41
Voodoo Science,Demob Happy,Voodoo Science,25/01/2023,37
Out of Luck,Airways,Out of Luck,11/10/2019,37
Gotta Get Through Til Monday,Cassia,Gotta Get through Til Monday,26/03/2021,45
Getaway,Blossoms,Blossoms,05/08/2016,51
Why Won't You Admit,Sea Girls,Under Exit Lights,06/03/2020,41
Are You High?,Bad Sounds,Are You High?,15/11/2017,32
Are We Having Any Fun Yet?,Larkins,JCOY,29/10/2021,39
Chevy Thunder,Spector,Enjoy It While It Lasts,01/01/2012,46
Skank,No Hot Ashes,Goose,2014,41
"Get Born, Grow up and Move Away",Clean Cut Kid,Mother’s Milk,02/07/2021,35
Paddling,Squid,Bright Green Field,07/05/2021,38
Baby Drummer,Bad Nerves,Bad Nerves,20/11/2020,31
M5,Sports Team,M5,05/04/2019,30
"Lamento (After ""When I Am Laid in Earth"" from Dido and Aeneas, Z. 626)",Henry Purcell,"Lamento (After ""When I Am Laid in Earth"" from Dido and Aeneas, Z. 626)",05/03/2021,37
Is She Happy Turning on Her Side?,Chappaqua Wrestling,Is She Happy Turning on Her Side?,20/09/2019,38
On The Run,The Mysterines,Reeling,11/03/2022,41
Image of Melancholy,Anthony Holborne,The Image of Melancholy,07/07/2014,35
Brave New World - Edit,The Blinders,Brave New World (Edit),26/07/2018,38
Largo from 'Xerxes',George Frideric Handel,Pachelbel: Canon in D - Bach: Air on a G String - Handel: Largo from 'Xerxes' - Hallelujah Chorus - Clarke: Trumpet Voluntary,01/01/2009,39
Tom Paine's Bones,The Trials of Cato,Hide and Hair,09/11/2018,37
Your Ghost,Circa Waves,Never Going Under,13/01/2023,46
Fossils,Circa Waves,Young Chasers (Deluxe),30/03/2015,47
Nine Lives,Strange Bones,Nine Lives,04/12/2020,36
Drunk,Viola Beach,Viola Beach,29/07/2016,47
Key To The City,Sorry,Anywhere But Here,07/10/2022,38
Lonely,Sea Girls,Lonely,15/02/2022,34
Polaroid,The Pale White,Polaroid,14/02/2020,38
"Miserere mei, Z. 109",Henry Purcell,Lumina,15/09/2017,36
Lonely,Sea Girls,Homesick (Deluxe),18/03/2022,42
Come Down,APRE,The Guns Down EP,05/11/2019,40
Please Don't Call It Time,The Reytons,Alcopops & Charity Shops,03/08/2018,45
Ceasefire,Judas,Ceasefire,15/09/2017,33
Subterraneans,Willie J Healey,People and Their Dogs,18/08/2017,35
"Lascia ch'io pianga Variation (From Rinaldo, HWV 7b, Arr. for Piano by Svetoslav Karparov)",George Frideric Handel,"Lascia ch'io pianga Variation (From Rinaldo, HWV 7b, Arr. for Piano by Svetoslav Karparov)",09/06/2023,36
30 Minute Break,The Luka State,30 Minute Break,24/03/2014,39
Bitter,Palace,Lost in the Night,20/10/2014,33
Digsaw,The Wytches,Annabel Dream Reader,25/08/2014,28
(A Bit of a) Birthday,Heavy Lungs,(A Bit of a) Birthday,13/09/2019,37
Match Bet,Squid,Match Bet,29/08/2019,38
Mad Mind,Bad Nerves,Bad Nerves,20/11/2020,30
Are My Friends Alright?,JAWS,Are My Friends Alright?,07/06/2023,39
Radio Punk,Bad Nerves,Bad Nerves,20/11/2020,30
How Far Can You Push A Man?,The Pale White,How Far Can You Push A Man?,28/04/2023,42
The Game,Sports Team,Gulp!,23/09/2022,30
Love You Wrong,Husky Loops,Spool,26/10/2018,28
Not Willing to Sacrifice My Life,King No-One,Not Willing to Sacrifice My Life,31/01/2020,39
Natural Supersoul,Superfood,Bambino,08/09/2017,33
Eye to Eye,Glass Caves,Eye to Eye,10/07/2020,42
Boy Racers,Squid,Bright Green Field,07/05/2021,37
Token Appreciation Society,Demob Happy,Divine Machines,26/05/2023,40
Love Is An Only Child,Monico Blonde,Love Is An Only Child,28/04/2017,35
"Dancing, Alone",Ten Tonnes,"Dancing, Alone",05/04/2023,36
Keep Dancing,SPINN,SPINN,03/05/2019,27
Felicity,The Night Café,151,23/08/2019,38
OK,Black Honey,OK,15/02/2023,39
"Handel: Serse, HWV 40, Act 1, Scene 1: Arioso. ""Ombra mai fù"" (Serse)",George Frideric Handel,40 Most Beautiful Arias,2006,39
Otherside,Spyres,Otherside,26/07/2019,40
Bored of Babies,Bad Nerves,Bad Nerves,20/11/2020,31
Lachrimae,John Dowland,Theatre Of Early Music: Love Bade Me Welcome - Songs and Poetry From the Renaissance,01/01/2005,35
Mean Streak,Bandit,Mean Streak,06/05/2020,35
Heaven Up There,Palace,Heaven Up There,19/10/2018,35
Heavy,Black Honey,A Fistful of Peaches,17/03/2023,39
Atlas Please,Gengahr,Sanctuary,31/01/2020,36
"Acis and Galatea, HWV 49b: Sinfonia",George Frideric Handel,Handel: Acis and Galatea,31/07/1998,39
Palace,Bad Nerves,Bad Nerves,20/11/2020,31
Thick Skin,False Heads,Sick Moon,30/09/2022,32
Gentleman Jack,O'Hooley & Tidow,The Fragile,2012,37
"Alcina, HWV 34 / Act 1: Oh Dei! Quivi non scorgo",George Frideric Handel,Handel: Alcina,01/01/2009,41
JUMP!,Only The Poets,JUMP!,07/04/2023,56
Alright,Bad Nerves,Alright,21/03/2022,34
"Organ Concerto in D Minor, Op. 7, No. 4 HWV 309: II. Allegro",George Frideric Handel,Handel Concerto for Organ and Strings,01/01/2009,28
You Will You Won't,The Zutons,Who Killed The Zutons?,2004,41
Runaway,BLOXX,Runaway,16/06/2023,36
Sympathy Boy,Demob Happy,Sympathy Boy,06/07/2021,35
Wages - PHRESSSH Mix,Bad Sounds,PHRESSSH,26/05/2017,36
"Julius Caesar, HWV 17, Act III Scene 1: Flow, my tears (Cleopatra)",George Frideric Handel,Handel: Julius Caesar,01/04/1999,39
Top Drawer,The Covasettes,Top Drawer,29/06/2018,40
Patio Paradise,The Zangwills,Patio Paradise,07/09/2018,40
Voodoo Science,Demob Happy,Divine Machines,26/05/2023,38
"Handel: Keyboard Suite in G Minor, HWV 432: VI. Passacaille",George Frideric Handel,Perlman & Zukerman - Duets for Two Violins,25/09/2015,35
Not Done,Bloody Knees,Not Done,28/07/2017,33
Gloria,The Trials of Cato,Hide and Hair,09/11/2018,36
Second Time,THE GOA EXPRESS,Second Time,20/04/2021,44
I Want You,Blaenavon,Everything That Makes You Happy,25/10/2019,26
Hometown,Luna Bay,Colours,08/01/2021,38
Token Appreciation Society,Demob Happy,Token Appreciation Society,25/05/2023,37
Charlie Bronson,Black Honey,Charlie Bronson,10/08/2022,30
Bored of Babies,Bad Nerves,Bad Nerves,20/11/2020,28
Mother,The Amazons,Future Dust,24/05/2019,42
If Ye Love Me,Thomas Tallis,A New Heaven : 1000 Years of Sacred Choral Music,06/02/2012,34
Faithless,Flyte,The Loved Ones,25/08/2017,34
Trouble,The Big Moon,Here Is Everything,14/10/2022,44
"Handel: Eternal Source Of Light Divine (Ode For The Birthday Of Queen Anne), HWV 74",George Frideric Handel,Best of Handel,11/10/2019,32
One Foot,Airways,One Foot,08/07/2016,35
Alison,Swimming Tapes,Alison,12/09/2017,27
That's Nice,FLING,FLING OR DIE,22/02/2019,33
I Heard a Cry,Calva Louise,Rhinoceros,01/02/2019,33
Leather,Talk Show,Leather,24/08/2022,36
City We Call Love,The Blinders,City We Call Love,05/11/2021,40
100 Times Over,Cassia,100 Times Over,25/09/2017,47
"Water Music, Suite No. 1, HWV 348: IV. Andante - [Allegro] da capo",George Frideric Handel,Handel: Water Music,05/02/2016,33
At Most A Kiss,Blossoms,Blossoms,05/08/2016,49
My Fall,Chappaqua Wrestling,Plus Ultra,14/04/2023,33
Camino,Calva Louise,Camino,28/02/2020,34
Dido's Lament,Henry Purcell,Night,15/03/2013,35
Wasted Days,Bad Nerves,Bad Nerves,20/11/2020,28
From Up Here,The Rheingans Sisters,Receiver,23/10/2020,29
Airborne Panic Attack,October Drift,I Don't Belong Anywhere,14/10/2022,35
She's a Witch,Gengahr,She's a Witch,26/01/2015,38
DO YOU KNOW ME?,VANT,DUMB BLOOD (Deluxe Edition),17/02/2017,26
"Water Music, Suite No. 1, HWV 348: No. 6, Air",George Frideric Handel,Handel: Water Music,05/02/2016,32
"Water Music, Suite No. 3, HWV 350: XXIi. Minuet (Coro)",George Frideric Handel,Handel: Water Music,05/02/2016,32
Finders Keepers,The Night Café,151,23/08/2019,37
Here It Comes Again,Sports Team,Deep Down Happy,05/06/2020,27
"Water Music, Suite No. 1, HWV 348: V. [Allegro]",George Frideric Handel,Handel: Water Music,05/02/2016,32
20 Signs,Luna Bay,20 Signs,18/03/2022,34
Sorry I'm Yours,Circa Waves,What's It Like Over There?,05/04/2019,41
Valerie,The Zutons,Tired Of Hanging Around,26/05/2006,42
King City,Swim Deep,Where the Heaven Are We,05/08/2013,43
"Water Music, Suite No. 1, HWV 348: No. 9, Hornpipe",George Frideric Handel,Handel: Water Music,05/02/2016,32
Electric 88,Bad Nerves,Bad Nerves,20/11/2020,28
Would You Rather Be Lonely,Red Rum Club,Matador,11/01/2019,49
Emily,Clean Cut Kid,Painwave,29/03/2019,42
Broke Boys Cartel,The Reytons,Kids Off The Estate,12/11/2021,48
"Someday, Somewhere",Palace,"Someday, Somewhere",23/10/2020,29
Super-Fluid,Demob Happy,Divine Machines,26/05/2023,36
Avalanche,The Reytons,What's Rock And Roll?,20/01/2023,45
Kiloran,Palace,Chase The Light,08/06/2015,28
Kiss the Misfits,Felix Hagan & the Family,Kiss the Misfits,20/11/2015,31
"Handel: Solomon, HWV 67, Act 3: Sinfonia. ""The Arrival of the Queen of Sheba""",George Frideric Handel,Baroque Masterpieces,07/02/2011,36
Cupid,The Big Moon,Love in the 4th Dimension,07/04/2017,27
New Shapes,Bad Nerves,Bad Nerves,20/11/2020,28
Mistress America,Flyte,This Is Really Going To Hurt,09/04/2021,30
"Water Music, Suite No. 2, HWV 349: XI. [Allegro]",George Frideric Handel,Handel: Water Music,05/02/2016,32
That Dress,The Pale White,Infinite Pleasure,23/04/2021,37
How Can I Compete,The Magic Gang,The Magic Gang (Deluxe),16/03/2018,43
Olympia,Sundara Karma,Youth is Only Ever Fun in Retrospect,07/07/2017,39
In nomine: Rachell’s Weepinge,Christopher Tye,Tye: Consort Music - In nomine,01/12/2014,34
Sliding Doors,Flyte,The Loved Ones,25/08/2017,31
Duvet Thief,The Covasettes,Duvet Thief,06/04/2023,38
She Changes the Weather,Swim Deep,Where the Heaven Are We,05/08/2013,40
Retire My Soul,William Byrd,Byrd: Retire My Soul,02/12/2022,34
Born Confused,Porridge Radio,Every Bad (Expanded Edition),25/03/2021,35
How Long Will This Last? - Single Mix,Blossoms,How Long Will This Last?,17/08/2018,45
Getting Closer,Calva Louise,Rhinoceros,01/02/2019,32
I'll Be Happy When You Die,The Roly Mo,I'll Be Happy When You Die,25/10/2019,36
Take Back The Track,The Magic Gang,Death of the Party (Bonus Track Version),28/08/2020,41
Do What You Want,High Tyde,Glow,01/12/2015,38
Ramona Flowers,The Blinders,Ramona Flowers,26/10/2018,36
Happy Anniversary (To Being Lonely),BLOXX,Happy Anniversary (To Being Lonely),05/05/2023,33
Young Chasers,Circa Waves,Young Chasers (Deluxe),30/03/2015,37
"Water Music (ed. Boyling) (1999 Digital Remaster), Suite no.2 in D: Gigue",George Frideric Handel,Handel: Water Music/Sonatas etc.,01/05/1999,36
"Purcell: Dido and Aeneas, Z. 626, Act III: Song. ""When I Am Laid in Earth"" (Dido)",Henry Purcell,40 Most Beautiful Arias,2006,36
"Dixit Dominus, HWV 232: Die Torrente in via bibet",George Frideric Handel,Handel - Messiah and other works,25/11/2022,38
Charlie Bronson,Black Honey,A Fistful of Peaches,17/03/2023,37
Terminal Boy,Bad Nerves,Bad Nerves,20/11/2020,27
looking at you - demo,Only The Poets,demos.,08/06/2021,43
Nothing Breaks Like A Heart,Sea Girls,Nothing Breaks Like A Heart,12/02/2021,39
Sewn,The Feeling,Twelve Stops And Home (Deluxe),05/06/2006,43
"Water Music, Suite No. 1, HWV 348: No. 5, Minuet",George Frideric Handel,Handel: Water Music,05/02/2016,32
No Other,Palace,No Other,07/12/2018,28
"Coronation Anthem No. 1, HWV 248 ""Zadok the Priest""",George Frideric Handel,Music for the Coronation of Her Majesty Queen Elizabeth II,08/06/2010,34
2010,Squid,Bright Green Field,07/05/2021,34
Alcatraz,King No-One,Alcatraz,14/12/2019,41
Powerlines,Cassia,Powerlines,27/01/2021,37
Chasing Highs,Luna Bay,Chasing Highs,02/09/2022,33
Good Lord (you’ve Come so Far),Clean Cut Kid,Good Lord (you’ve Come so Far),16/10/2020,30
Who Are You?,Glass Caves,Who Are You?,06/11/2020,39
Everytime I Run,Husky Loops,Everytime I Run,26/09/2018,27
Alright,Bad Nerves,Alright,21/03/2022,33
English Weather,FEET,What's Inside is More Than Just Ham,04/10/2019,38
